Transaction_ID,Date,Customer_ID,Transaction_Amount,Category,Payment_Method,Merchant,Is_Fraud
T000024,2023-01-01 23:00:00,3391,226.52,Dining,Credit Card,Amazon,0
T000025,2023-01-02 00:00:00,2515,191.01,Entertainment,Online,Netflix,0
T000026,2023-01-02 01:00:00,4485,827.45,Healthcare,Debit Card,Amazon,1
T000027,2023-01-02 02:00:00,3853,292.85,Travel,Credit Card,Netflix,0
T000028,2023-01-02 03:00:00,3433,927.85,Healthcare,Online,Best Buy,0
T000029,2023-01-02 04:00:00,2215,970.23,Travel,Cash,Target,0
T000030,2023-01-02 05:00:00,1955,575.55,Travel,Cash,Best Buy,0
T000031,2023-01-02 06:00:00,3324,151.57,Utilities,Debit Card,Costco,0
T000032,2023-01-02 07:00:00,2184,380.8,Utilities,Credit Card,Uber,0
T000033,2023-01-02 08:00:00,1459,799.75,Travel,Debit Card,CVS,0
T000034,2023-01-02 09:00:00,4385,373.72,Dining,Online,Costco,0
T000035,2023-01-02 10:00:00,1021,96.15,Utilities,Cash,Amazon,0
T000036,2023-01-02 11:00:00,3300,561.22,Utilities,Debit Card,Amazon,0
T000037,2023-01-02 12:00:00,1747,846.67,Groceries,Credit Card,Walmart,0
T000038,2023-01-02 13:00:00,3904,797.97,Healthcare,Online,Amazon,0
T000039,2023-01-02 14:00:00,4632,183.37,Groceries,Credit Card,Uber,0
T000040,2023-01-02 15:00:00,1474,676.04,Dining,Debit Card,Walmart,0
T000041,2023-01-02 16:00:00,2082,228.3,Utilities,Cash,Amazon,0
T000042,2023-01-02 17:00:00,3558,226.03,Utilities,Cash,Amazon,0
T000043,2023-01-02 18:00:00,4753,875.33,Entertainment,Debit Card,Best Buy,0
T000044,2023-01-02 19:00:00,3047,257.17,Dining,Credit Card,Best Buy,0
T000045,2023-01-02 20:00:00,4547,270.61,Healthcare,Credit Card,CVS,0
T000046,2023-01-02 21:00:00,3747,10.65,Healthcare,Credit Card,Costco,0
T000047,2023-01-02 22:00:00,1975,871.96,Healthcare,Credit Card,Target,0
T000048,2023-01-02 23:00:00,2806,794.67,Dining,Cash,CVS,0
T000049,2023-01-03 00:00:00,1189,631.06,Entertainment,Credit Card,Amazon,0
T000050,2023-01-03 01:00:00,4005,752.76,Entertainment,Debit Card,CVS,1
T000051,2023-01-03 02:00:00,3734,160.53,Groceries,Debit Card,Best Buy,0
T000052,2023-01-03 03:00:00,4005,463.74,Dining,Debit Card,Costco,0
T000053,2023-01-03 04:00:00,1562,357.71,Dining,Debit Card,Amazon,0
T000054,2023-01-03 05:00:00,2899,102.84,Entertainment,Credit Card,Netflix,0
T000055,2023-01-03 06:00:00,4638,491.27,Travel,Cash,Amazon,0
T000056,2023-01-03 07:00:00,2267,921.53,Travel,Online,CVS,0
T000057,2023-01-03 08:00:00,3879,49.66,Groceries,Credit Card,Costco,0
T000058,2023-01-03 09:00:00,2528,298.55,Travel,Online,Netflix,0
T000059,2023-01-03 10:00:00,4202,215.47,Travel,Cash,Uber,0
T000060,2023-01-03 11:00:00,4556,245.77,Travel,Credit Card,Walmart,0
T000061,2023-01-03 12:00:00,4890,909.35,Utilities,Online,Uber,0
T000062,2023-01-03 13:00:00,1646,473.39,Groceries,Cash,Netflix,0
T000063,2023-01-03 14:00:00,3068,471.64,Entertainment,Online,Netflix,0
T000064,2023-01-03 15:00:00,3888,762.97,Travel,Debit Card,Target,0
T000065,2023-01-03 16:00:00,3214,162.95,Healthcare,Debit Card,Netflix,0
T000066,2023-01-03 17:00:00,2297,492.39,Utilities,Cash,Costco,0
T000067,2023-01-03 18:00:00,3435,435.69,Travel,Cash,CVS,0
T000068,2023-01-03 19:00:00,1600,600.94,Utilities,Online,Uber,0
T000069,2023-01-03 20:00:00,3363,999.56,Groceries,Cash,CVS,0
T000070,2023-01-03 21:00:00,3061,771.75,Healthcare,Debit Card,Target,0
T000071,2023-01-03 22:00:00,1241,403.89,Healthcare,Debit Card,Amazon,0
T000072,2023-01-03 23:00:00,3041,829.28,Healthcare,Credit Card,Amazon,0
T000073,2023-01-04 00:00:00,3824,179.0,Travel,Online,Walmart,0
T000074,2023-01-04 01:00:00,4417,40.16,Utilities,Cash,CVS,0
T000075,2023-01-04 02:00:00,3612,212.4,Healthcare,Cash,Target,0
T000076,2023-01-04 03:00:00,3945,347.01,Dining,Cash,CVS,0
T000077,2023-01-04 04:00:00,2363,515.47,Dining,Online,Best Buy,0
T000078,2023-01-04 05:00:00,3139,618.98,Utilities,Debit Card,CVS,0
T000079,2023-01-04 06:00:00,2390,911.5,Travel,Cash,CVS,0
T000080,2023-01-04 07:00:00,4003,514.76,Travel,Cash,Best Buy,0
T000081,2023-01-04 08:00:00,2478,506.26,Groceries,Debit Card,Best Buy,0
T000082,2023-01-04 09:00:00,4499,59.74,Groceries,Cash,Uber,0
T000083,2023-01-04 10:00:00,3556,44.56,Healthcare,Credit Card,Netflix,0
T000084,2023-01-04 11:00:00,1775,555.65,Entertainment,Debit Card,Netflix,0
T000085,2023-01-04 12:00:00,1034,443.8,Groceries,Debit Card,Target,0
T000086,2023-01-04 13:00:00,3253,840.79,Travel,Debit Card,Uber,0
T000087,2023-01-04 14:00:00,4152,169.07,Entertainment,Credit Card,Amazon,0
T000088,2023-01-04 15:00:00,2955,34.72,Groceries,Debit Card,Walmart,0
T000089,2023-01-04 16:00:00,2585,454.55,Utilities,Online,Uber,0
T000090,2023-01-04 17:00:00,4943,245.1,Dining,Online,Best Buy,0
T000091,2023-01-04 18:00:00,4459,59.12,Groceries,Online,Amazon,0
T000092,2023-01-04 19:00:00,4073,727.35,Groceries,Debit Card,Netflix,0
T000093,2023-01-04 20:00:00,2021,120.48,Utilities,Debit Card,Target,0
T000094,2023-01-04 21:00:00,4461,612.24,Travel,Debit Card,Costco,0
T000095,2023-01-04 22:00:00,3613,288.24,Healthcare,Credit Card,CVS,0
T000096,2023-01-04 23:00:00,2129,181.76,Utilities,Online,Target,0
T000097,2023-01-05 00:00:00,4843,385.95,Healthcare,Cash,Target,0
T000098,2023-01-05 01:00:00,4893,803.43,Groceries,Cash,Best Buy,0
T000099,2023-01-05 02:00:00,2500,398.17,Travel,Debit Card,Walmart,0
T000100,2023-01-05 03:00:00,1702,753.26,Entertainment,Credit Card,Uber,0
T000101,2023-01-05 04:00:00,3449,134.23,Groceries,Debit Card,Best Buy,0
T000102,2023-01-05 05:00:00,3777,775.04,Utilities,Cash,CVS,0
T000103,2023-01-05 06:00:00,2579,244.56,Entertainment,Online,Best Buy,0
T000104,2023-01-05 07:00:00,1161,680.62,Dining,Cash,CVS,0
T000105,2023-01-05 08:00:00,1201,570.12,Entertainment,Online,Best Buy,0
T000106,2023-01-05 09:00:00,2981,929.85,Utilities,Online,Costco,0
T000107,2023-01-05 10:00:00,1995,393.45,Entertainment,Credit Card,Netflix,0
T000108,2023-01-05 11:00:00,3317,75.5,Utilities,Cash,Walmart,1
T000109,2023-01-05 12:00:00,4934,28.96,Groceries,Debit Card,Costco,0
T000110,2023-01-05 13:00:00,1815,828.59,Travel,Credit Card,Amazon,0
T000111,2023-01-05 14:00:00,4342,529.49,Dining,Online,Netflix,0
T000112,2023-01-05 15:00:00,1455,777.49,Travel,Cash,Netflix,0
T000113,2023-01-05 16:00:00,4533,242.08,Travel,Debit Card,Netflix,0
T000114,2023-01-05 17:00:00,4798,351.63,Travel,Credit Card,Walmart,0
T000115,2023-01-05 18:00:00,2275,39.8,Utilities,Debit Card,Uber,0
T000116,2023-01-05 19:00:00,2016,961.88,Utilities,Cash,Best Buy,0
T000117,2023-01-05 20:00:00,4773,671.19,Dining,Debit Card,Netflix,0
T000118,2023-01-05 21:00:00,3343,933.87,Utilities,Credit Card,Target,0
T000119,2023-01-05 22:00:00,4796,272.84,Healthcare,Debit Card,Amazon,0
T000120,2023-01-05 23:00:00,3767,615.35,Utilities,Cash,Netflix,0
T000121,2023-01-06 00:00:00,4820,681.71,Utilities,Credit Card,Target,0
T000122,2023-01-06 01:00:00,1337,324.37,Utilities,Online,Netflix,0
T000123,2023-01-06 02:00:00,1878,849.63,Groceries,Credit Card,Costco,0
T000124,2023-01-06 03:00:00,2076,947.69,Dining,Cash,Uber,0
T000125,2023-01-06 04:00:00,1791,886.01,Healthcare,Debit Card,Walmart,0
T000126,2023-01-06 05:00:00,4993,741.68,Utilities,Online,Uber,0
T000127,2023-01-06 06:00:00,3264,284.69,Dining,Online,Amazon,0
T000128,2023-01-06 07:00:00,1763,288.8,Entertainment,Debit Card,Costco,0
T000129,2023-01-06 08:00:00,3235,963.73,Groceries,Cash,Best Buy,1
T000130,2023-01-06 09:00:00,1379,20.18,Utilities,Credit Card,Target,0
T000131,2023-01-06 10:00:00,1492,718.89,Healthcare,Cash,Best Buy,0
T000132,2023-01-06 11:00:00,4112,709.18,Groceries,Online,CVS,0
T000133,2023-01-06 12:00:00,2180,626.46,Healthcare,Credit Card,Uber,0
T000134,2023-01-06 13:00:00,3062,990.21,Groceries,Credit Card,Amazon,0
T000135,2023-01-06 14:00:00,4884,318.76,Entertainment,Debit Card,Target,0
T000136,2023-01-06 15:00:00,1064,346.57,Dining,Cash,Walmart,0
T000137,2023-01-06 16:00:00,4928,88.15,Groceries,Credit Card,Netflix,0
T000138,2023-01-06 17:00:00,4910,448.37,Travel,Debit Card,Walmart,0
T000139,2023-01-06 18:00:00,3568,268.44,Entertainment,Cash,Walmart,0
T000140,2023-01-06 19:00:00,2367,349.95,Travel,Online,Costco,0
T000141,2023-01-06 20:00:00,2152,836.23,Entertainment,Online,Walmart,0
T000142,2023-01-06 21:00:00,3027,936.13,Travel,Cash,Target,0
T000143,2023-01-06 22:00:00,3695,193.88,Travel,Credit Card,Netflix,0
T000144,2023-01-06 23:00:00,2495,378.78,Healthcare,Credit Card,Uber,0
T000145,2023-01-07 00:00:00,4134,929.34,Groceries,Online,Uber,0
T000146,2023-01-07 01:00:00,2162,71.19,Groceries,Online,Uber,0
T000147,2023-01-07 02:00:00,2522,101.44,Entertainment,Credit Card,Costco,0
T000148,2023-01-07 03:00:00,3640,171.16,Dining,Cash,CVS,0
T000149,2023-01-07 04:00:00,1391,599.26,Healthcare,Online,Walmart,0
T000150,2023-01-07 05:00:00,2698,158.97,Groceries,Credit Card,Uber,0
T000151,2023-01-07 06:00:00,1418,968.4,Groceries,Cash,Walmart,0
T000152,2023-01-07 07:00:00,3336,452.25,Healthcare,Debit Card,Netflix,0
T000153,2023-01-07 08:00:00,1378,506.5,Utilities,Cash,Netflix,0
T000154,2023-01-07 09:00:00,2796,254.19,Healthcare,Credit Card,Costco,0
T000155,2023-01-07 10:00:00,4561,476.25,Groceries,Cash,Walmart,0
T000156,2023-01-07 11:00:00,3278,665.29,Dining,Credit Card,CVS,0
T000157,2023-01-07 12:00:00,4065,753.67,Utilities,Online,Costco,0
T000158,2023-01-07 13:00:00,3088,756.33,Travel,Debit Card,Costco,0
T000159,2023-01-07 14:00:00,4099,582.11,Healthcare,Online,Amazon,0
T000160,2023-01-07 15:00:00,3182,905.32,Travel,Online,Costco,0
T000161,2023-01-07 16:00:00,1200,819.23,Utilities,Credit Card,Walmart,0
T000162,2023-01-07 17:00:00,2863,759.48,Utilities,Credit Card,Costco,0
T000163,2023-01-07 18:00:00,1779,65.05,Utilities,Credit Card,Walmart,0
T000164,2023-01-07 19:00:00,3977,16.81,Entertainment,Credit Card,Walmart,0
T000165,2023-01-07 20:00:00,4104,220.32,Healthcare,Online,Uber,0
T000166,2023-01-07 21:00:00,4119,666.89,Dining,Credit Card,Costco,0
T000167,2023-01-07 22:00:00,1502,417.09,Dining,Credit Card,Amazon,0
T000168,2023-01-07 23:00:00,3454,408.38,Travel,Online,Walmart,0
T000169,2023-01-08 00:00:00,4645,885.74,Travel,Debit Card,Uber,0
T000170,2023-01-08 01:00:00,2751,896.61,Travel,Debit Card,Amazon,0
T000171,2023-01-08 02:00:00,1804,910.08,Healthcare,Cash,Amazon,0
T000172,2023-01-08 03:00:00,3146,320.74,Groceries,Online,Costco,0
T000173,2023-01-08 04:00:00,3731,694.15,Travel,Credit Card,Best Buy,0
T000174,2023-01-08 05:00:00,2895,278.92,Utilities,Cash,Uber,0
T000175,2023-01-08 06:00:00,3773,198.7,Travel,Debit Card,Best Buy,0
T000176,2023-01-08 07:00:00,2570,192.79,Utilities,Debit Card,Walmart,0
T000177,2023-01-08 08:00:00,1960,348.69,Entertainment,Online,Target,0
T000178,2023-01-08 09:00:00,4810,435.66,Groceries,Credit Card,Best Buy,0
T000179,2023-01-08 10:00:00,3660,832.64,Groceries,Credit Card,Uber,0
T000180,2023-01-08 11:00:00,2485,128.69,Healthcare,Cash,Costco,0
T000181,2023-01-08 12:00:00,3690,737.58,Healthcare,Debit Card,Uber,0
T000182,2023-01-08 13:00:00,4840,536.14,Dining,Cash,Costco,0
T000183,2023-01-08 14:00:00,2028,295.07,Entertainment,Cash,Best Buy,0
T000184,2023-01-08 15:00:00,4289,497.89,Healthcare,Cash,Target,0
T000185,2023-01-08 16:00:00,1502,306.94,Utilities,Credit Card,CVS,0
T000186,2023-01-08 17:00:00,3814,600.12,Entertainment,Debit Card,Walmart,0
T000187,2023-01-08 18:00:00,1397,439.51,Groceries,Cash,Uber,0
T000188,2023-01-08 19:00:00,1870,172.76,Utilities,Debit Card,CVS,0
T000189,2023-01-08 20:00:00,3842,125.42,Entertainment,Debit Card,CVS,0
T000190,2023-01-08 21:00:00,1392,551.23,Groceries,Cash,Amazon,0
T000191,2023-01-08 22:00:00,1206,903.39,Healthcare,Cash,Amazon,0
T000192,2023-01-08 23:00:00,2038,350.52,Utilities,Online,Walmart,0
T000193,2023-01-09 00:00:00,2881,735.67,Utilities,Credit Card,Target,0
T000194,2023-01-09 01:00:00,4625,662.07,Groceries,Debit Card,Amazon,0
T000195,2023-01-09 02:00:00,3939,932.24,Utilities,Cash,Uber,0
T000196,2023-01-09 03:00:00,2484,822.77,Healthcare,Cash,Uber,0
T000197,2023-01-09 04:00:00,4762,570.94,Healthcare,Debit Card,Best Buy,0
T000198,2023-01-09 05:00:00,4646,660.46,Healthcare,Cash,Uber,0
T000199,2023-01-09 06:00:00,1863,899.4,Groceries,Online,Walmart,0
T000200,2023-01-09 07:00:00,3790,405.52,Travel,Debit Card,Costco,0
T000201,2023-01-09 08:00:00,4312,333.53,Travel,Cash,CVS,0
T000202,2023-01-09 09:00:00,1563,20.7,Utilities,Debit Card,Uber,0
T000203,2023-01-09 10:00:00,2020,828.29,Healthcare,Cash,Walmart,0
T000204,2023-01-09 11:00:00,1095,802.97,Utilities,Cash,Costco,1
T000205,2023-01-09 12:00:00,2923,113.41,Groceries,Credit Card,Costco,0
T000206,2023-01-09 13:00:00,2757,581.09,Utilities,Debit Card,Amazon,0
T000207,2023-01-09 14:00:00,3532,469.34,Dining,Credit Card,Costco,0
T000208,2023-01-09 15:00:00,4478,127.52,Travel,Cash,Target,0
T000209,2023-01-09 16:00:00,3278,980.76,Utilities,Debit Card,Costco,0
T000210,2023-01-09 17:00:00,3796,222.55,Utilities,Debit Card,Costco,0
T000211,2023-01-09 18:00:00,2678,76.56,Entertainment,Online,CVS,0
T000212,2023-01-09 19:00:00,4242,598.9,Utilities,Online,Target,0
T000213,2023-01-09 20:00:00,1540,741.48,Dining,Cash,Walmart,0
T000214,2023-01-09 21:00:00,2059,42.12,Travel,Cash,Target,0
T000215,2023-01-09 22:00:00,3572,662.13,Entertainment,Cash,Target,0
T000216,2023-01-09 23:00:00,2183,536.97,Groceries,Cash,Walmart,0
T000217,2023-01-10 00:00:00,4910,112.23,Groceries,Online,CVS,0
T000218,2023-01-10 01:00:00,2722,180.8,Travel,Debit Card,Uber,0
T000219,2023-01-10 02:00:00,4314,572.29,Groceries,Credit Card,Netflix,0
T000220,2023-01-10 03:00:00,4157,303.39,Dining,Debit Card,Costco,0
T000221,2023-01-10 04:00:00,2819,938.93,Utilities,Debit Card,Target,0
T000222,2023-01-10 05:00:00,3625,820.55,Travel,Online,Target,0
T000223,2023-01-10 06:00:00,3729,983.73,Entertainment,Debit Card,Uber,0
T000224,2023-01-10 07:00:00,3604,267.07,Utilities,Debit Card,Walmart,0
T000225,2023-01-10 08:00:00,2597,970.03,Groceries,Cash,Best Buy,0
T000226,2023-01-10 09:00:00,4060,436.92,Groceries,Credit Card,Uber,0
T000227,2023-01-10 10:00:00,3693,354.04,Entertainment,Debit Card,Target,0
T000228,2023-01-10 11:00:00,1795,59.85,Dining,Debit Card,Amazon,0
T000229,2023-01-10 12:00:00,2051,62.24,Entertainment,Credit Card,Costco,0
T000230,2023-01-10 13:00:00,2643,695.09,Travel,Cash,Costco,0
T000231,2023-01-10 14:00:00,4627,463.35,Entertainment,Online,Uber,0
T000232,2023-01-10 15:00:00,2363,234.26,Groceries,Online,CVS,0
T000233,2023-01-10 16:00:00,4869,617.83,Dining,Debit Card,Uber,0
T000234,2023-01-10 17:00:00,2981,260.33,Dining,Cash,Target,0
T000235,2023-01-10 18:00:00,2354,581.86,Healthcare,Online,Walmart,0
T000236,2023-01-10 19:00:00,2663,365.62,Entertainment,Online,Amazon,0
T000237,2023-01-10 20:00:00,2529,825.32,Travel,Online,Uber,0
T000238,2023-01-10 21:00:00,3038,822.49,Groceries,Online,Walmart,0
T000239,2023-01-10 22:00:00,4419,482.58,Utilities,Online,Uber,0
T000240,2023-01-10 23:00:00,2496,357.31,Dining,Debit Card,Target,0
T000241,2023-01-11 00:00:00,4302,368.93,Entertainment,Online,Amazon,0
T000242,2023-01-11 01:00:00,3237,807.66,Healthcare,Debit Card,CVS,0
T000243,2023-01-11 02:00:00,4296,334.9,Travel,Credit Card,CVS,0
T000244,2023-01-11 03:00:00,2408,216.97,Travel,Credit Card,Uber,0
T000245,2023-01-11 04:00:00,2400,93.84,Groceries,Cash,Netflix,0
T000246,2023-01-11 05:00:00,2306,472.03,Dining,Debit Card,CVS,0
T000247,2023-01-11 06:00:00,3680,487.31,Groceries,Cash,Netflix,0
T000248,2023-01-11 07:00:00,3675,842.5,Healthcare,Credit Card,Netflix,0
T000249,2023-01-11 08:00:00,1972,229.03,Utilities,Credit Card,Best Buy,0
T000250,2023-01-11 09:00:00,2768,387.18,Utilities,Credit Card,Walmart,0
T000251,2023-01-11 10:00:00,2282,810.32,Utilities,Credit Card,Target,0
T000252,2023-01-11 11:00:00,4430,825.39,Travel,Online,Amazon,0
T000253,2023-01-11 12:00:00,1709,390.76,Dining,Credit Card,Uber,0
T000254,2023-01-11 13:00:00,2479,464.53,Groceries,Online,Uber,0
T000255,2023-01-11 14:00:00,2434,310.25,Groceries,Online,Costco,0
T000256,2023-01-11 15:00:00,1648,933.23,Healthcare,Cash,Costco,0
T000257,2023-01-11 16:00:00,1317,127.46,Utilities,Online,Walmart,0
T000258,2023-01-11 17:00:00,4748,934.41,Dining,Cash,Target,0
T000259,2023-01-11 18:00:00,4296,687.03,Dining,Online,Best Buy,0
T000260,2023-01-11 19:00:00,4890,536.26,Healthcare,Online,Target,0
T000261,2023-01-11 20:00:00,2257,42.33,Entertainment,Credit Card,Walmart,0
T000262,2023-01-11 21:00:00,1683,480.84,Dining,Debit Card,Target,0
T000263,2023-01-11 22:00:00,1663,413.67,Dining,Online,Costco,1
T000264,2023-01-11 23:00:00,2998,169.61,Groceries,Debit Card,Costco,0
T000265,2023-01-12 00:00:00,4898,659.85,Healthcare,Debit Card,Amazon,0
T000266,2023-01-12 01:00:00,4445,971.44,Dining,Debit Card,Best Buy,0
T000267,2023-01-12 02:00:00,4743,566.57,Dining,Online,Costco,0
T000268,2023-01-12 03:00:00,2631,717.61,Groceries,Debit Card,Amazon,0
T000269,2023-01-12 04:00:00,2495,77.77,Dining,Online,Best Buy,0
T000270,2023-01-12 05:00:00,4304,423.49,Groceries,Credit Card,Costco,0
T000271,2023-01-12 06:00:00,4763,125.19,Entertainment,Online,Best Buy,0
T000272,2023-01-12 07:00:00,2136,616.67,Travel,Cash,Netflix,0
T000273,2023-01-12 08:00:00,2853,939.1,Groceries,Credit Card,Target,0
T000274,2023-01-12 09:00:00,2520,665.16,Groceries,Debit Card,Amazon,0
T000275,2023-01-12 10:00:00,3489,86.04,Dining,Debit Card,Best Buy,0
T000276,2023-01-12 11:00:00,1563,361.12,Groceries,Cash,Uber,0
T000277,2023-01-12 12:00:00,2291,555.16,Healthcare,Credit Card,Best Buy,0
T000278,2023-01-12 13:00:00,4581,409.18,Utilities,Cash,Target,0
T000279,2023-01-12 14:00:00,4878,835.31,Utilities,Debit Card,Costco,0
T000280,2023-01-12 15:00:00,4457,816.52,Entertainment,Online,Costco,0
T000281,2023-01-12 16:00:00,4458,615.71,Groceries,Debit Card,Uber,0
T000282,2023-01-12 17:00:00,4184,379.72,Healthcare,Cash,Walmart,0
T000283,2023-01-12 18:00:00,2636,262.78,Dining,Online,Walmart,1
T000284,2023-01-12 19:00:00,4696,114.82,Dining,Online,Costco,0
T000285,2023-01-12 20:00:00,3999,361.35,Travel,Debit Card,Netflix,0
T000286,2023-01-12 21:00:00,4152,419.04,Entertainment,Online,Uber,0
T000287,2023-01-12 22:00:00,1698,679.06,Healthcare,Credit Card,CVS,0
T000288,2023-01-12 23:00:00,3160,661.58,Healthcare,Debit Card,CVS,0
T000289,2023-01-13 00:00:00,1001,79.41,Dining,Debit Card,Uber,0
T000290,2023-01-13 01:00:00,1641,401.31,Travel,Credit Card,Best Buy,0
T000291,2023-01-13 02:00:00,3267,189.96,Dining,Debit Card,Costco,0
T000292,2023-01-13 03:00:00,2589,165.24,Travel,Cash,Walmart,0
T000293,2023-01-13 04:00:00,1854,829.03,Utilities,Cash,Best Buy,1
T000294,2023-01-13 05:00:00,2759,51.5,Healthcare,Debit Card,Amazon,0
T000295,2023-01-13 06:00:00,4296,424.99,Utilities,Credit Card,Uber,0
T000296,2023-01-13 07:00:00,3432,176.52,Dining,Online,Uber,0
T000297,2023-01-13 08:00:00,4474,880.54,Entertainment,Credit Card,Netflix,0
T000298,2023-01-13 09:00:00,2661,561.47,Groceries,Cash,Walmart,0
T000299,2023-01-13 10:00:00,2153,239.07,Entertainment,Debit Card,Walmart,1
T000300,2023-01-13 11:00:00,2076,507.4,Entertainment,Credit Card,Walmart,0
T000301,2023-01-13 12:00:00,2707,734.17,Groceries,Online,Uber,0
T000302,2023-01-13 13:00:00,3777,958.54,Healthcare,Online,CVS,0
T000303,2023-01-13 14:00:00,2695,228.24,Utilities,Online,Target,0
T000304,2023-01-13 15:00:00,2733,887.32,Utilities,Online,Netflix,0
T000305,2023-01-13 16:00:00,2439,934.96,Healthcare,Credit Card,Target,0
T000306,2023-01-13 17:00:00,3294,917.26,Groceries,Online,Netflix,0
T000307,2023-01-13 18:00:00,1835,639.06,Travel,Cash,Uber,0
T000308,2023-01-13 19:00:00,4510,633.52,Entertainment,Online,CVS,0
T000309,2023-01-13 20:00:00,1202,409.18,Dining,Cash,Netflix,0
T000310,2023-01-13 21:00:00,4255,754.87,Utilities,Credit Card,Costco,0
T000311,2023-01-13 22:00:00,1122,535.98,Healthcare,Cash,Costco,0
T000312,2023-01-13 23:00:00,1400,680.66,Dining,Credit Card,Uber,0
T000313,2023-01-14 00:00:00,1766,434.17,Groceries,Online,Uber,0
T000314,2023-01-14 01:00:00,1293,734.18,Dining,Debit Card,CVS,0
T000315,2023-01-14 02:00:00,3327,826.23,Dining,Cash,CVS,0
T000316,2023-01-14 03:00:00,4908,154.97,Entertainment,Cash,Costco,0
T000317,2023-01-14 04:00:00,3931,834.6,Groceries,Debit Card,Target,0
T000318,2023-01-14 05:00:00,4681,544.89,Dining,Credit Card,Best Buy,0
T000319,2023-01-14 06:00:00,1197,846.22,Utilities,Credit Card,CVS,0
T000320,2023-01-14 07:00:00,4029,436.99,Groceries,Online,Best Buy,0
T000321,2023-01-14 08:00:00,2930,385.25,Utilities,Cash,Best Buy,0
T000322,2023-01-14 09:00:00,4582,915.91,Healthcare,Credit Card,Amazon,0
T000323,2023-01-14 10:00:00,3799,258.66,Healthcare,Online,Target,0
T000324,2023-01-14 11:00:00,3191,845.77,Travel,Credit Card,Netflix,1
T000325,2023-01-14 12:00:00,1608,489.18,Healthcare,Debit Card,Uber,0
T000326,2023-01-14 13:00:00,4272,518.95,Dining,Debit Card,Best Buy,0
T000327,2023-01-14 14:00:00,2147,315.38,Groceries,Debit Card,Uber,0
T000328,2023-01-14 15:00:00,1186,577.31,Healthcare,Online,Uber,0
T000329,2023-01-14 16:00:00,4397,331.96,Utilities,Cash,Target,0
T000330,2023-01-14 17:00:00,3511,48.88,Dining,Debit Card,Target,0
T000331,2023-01-14 18:00:00,4420,279.28,Healthcare,Debit Card,Amazon,0
T000332,2023-01-14 19:00:00,2794,16.32,Entertainment,Credit Card,Netflix,0
T000333,2023-01-14 20:00:00,1659,978.57,Utilities,Debit Card,Uber,0
T000334,2023-01-14 21:00:00,3811,966.09,Utilities,Cash,Costco,0
T000335,2023-01-14 22:00:00,4002,401.2,Travel,Online,Netflix,0
T000336,2023-01-14 23:00:00,2955,731.09,Entertainment,Debit Card,Netflix,0
T000337,2023-01-15 00:00:00,3450,352.35,Travel,Online,Target,0
T000338,2023-01-15 01:00:00,2369,674.38,Healthcare,Online,Best Buy,0
T000339,2023-01-15 02:00:00,2986,807.38,Entertainment,Cash,Costco,0
T000340,2023-01-15 03:00:00,2534,947.29,Utilities,Credit Card,Costco,0
T000341,2023-01-15 04:00:00,1146,406.21,Travel,Credit Card,Walmart,0
T000342,2023-01-15 05:00:00,4219,785.47,Dining,Online,Best Buy,0
T000343,2023-01-15 06:00:00,3911,273.27,Entertainment,Debit Card,Best Buy,0
T000344,2023-01-15 07:00:00,2734,990.43,Utilities,Online,Target,0
T000345,2023-01-15 08:00:00,2843,35.51,Groceries,Credit Card,Best Buy,0
